Pathway	KEGG_ortholog	Step	Description
EMP	K01810	A_1_a	GPI, pgi; glucose-6-phosphate isomerase [EC:5.3.1.9]
EMP	K06859	A_1_b	pgi1; glucose-6-phosphate isomerase, archaeal [EC:5.3.1.9]
EMP	K13810	A_1_c	tal-pgi; transaldolase / glucose-6-phosphate isomerase [EC:2.2.1.2 5.3.1.9]
EMP	K15916	A_1_d	pgi-pmi; glucose/mannose-6-phosphate isomerase [EC:5.3.1.9 5.3.1.8]
EMP	K16370	A_2_a	pfkB; 6-phosphofructokinase 2 [EC:2.7.1.11]
EMP	K21071	A_2_b	pfk, pfp; ATP-dependent phosphofructokinase / diphosphate-dependent phosphofructokinase [EC:2.7.1.11
EMP	K24182	A_2_c	PFK9; 6-phosphofructokinase [EC:2.7.1.11]
EMP	K00850	A_2_d	pfkA, PFK; 6-phosphofructokinase 1 [EC:2.7.1.11]
EMP	K00918	A_2_e	pfkC; ADP-dependent phosphofructokinase/glucokinase [EC:2.7.1.146 2.7.1.147]
EMP	K00895	A_2_f	pfp, PFP; diphosphate-dependent phosphofructokinase [EC:2.7.1.90]
EMP	K16305	A_2_g:A_3_e	K16305; fructose-bisphosphate aldolase / 6-deoxy-5-ketofructose 1-phosphate synthase [EC:4.1.2.13 2.
EMP	K01622	A_3_a	K01622; fructose 1,6-bisphosphate aldolase/phosphatase [EC:4.1.2.13 3.1.3.11]
EMP	K01623	A_3_b	ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]
EMP	K01624	A_3_c	FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]
EMP	K11645	A_3_d	fbaB; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]
EMP	K16306	A_3_f	K16306; fructose-bisphosphate aldolase / 2-amino-3,7-dideoxy-D-threo-hept-6-ulosonate synthase [EC:4
EMP	K10705	A_4_a_1-2:A_4_g_1-2	GAPDHS; glyceraldehyde-3-phosphate dehydrogenase, spermatogenic [EC:1.2.1.12]
EMP	K00927	A_4_a_2-2:A_4_b_2-2:A_4_c_2-2	PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]
EMP	K00134	A_4_b_1-2:A_4_h_1-2	GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]
EMP	K00150	A_4_c_1-2:A_4_i_1-2	gap2; glyceraldehyde-3-phosphate dehydrogenase (NAD(P)) [EC:1.2.1.59]
EMP	K18978	A_4_d	gapN; glyceraldehyde-3-phosphate dehydrogenase [NAD(P)+] [EC:1.2.1.90]
EMP	K00131	A_4_e	gapN; glyceraldehyde-3-phosphate dehydrogenase (NADP+) [EC:1.2.1.9]
EMP	K11389	A_4_f	gapor; glyceraldehyde-3-phosphate dehydrogenase (ferredoxin) [EC:1.2.7.6]
EMP	K01837	A_4_g_2-2:A_4_h_2-2:A_4_i_2-2:A_5_c	BPGM; bisphosphoglycerate/phosphoglycerate mutase [EC:5.4.2.4 5.4.2.11]
EMP	K15634	A_5_a	gpmB; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]
EMP	K01834	A_5_b	PGAM, gpmA; 2,3-bisphosphoglycerate-dependent phosphoglycerate mutase [EC:5.4.2.11]
EMP	K15635	A_5_d	apgM; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]
EMP	K15633	A_5_e	gpmI; 2,3-bisphosphoglycerate-independent phosphoglycerate mutase [EC:5.4.2.12]
EMP	K03103	A_5_f	MINPP1; multiple inositol-polyphosphate phosphatase / 2,3-bisphosphoglycerate 3-phosphatase [EC:3.1.
EMP	K01689	A_6_a	ENO, eno; enolase [EC:4.2.1.11]
EMP	K12406	A_7_a	PKLR; pyruvate kinase isozymes R/L [EC:2.7.1.40]
EMP	K00873	A_7_b	PK, pyk; pyruvate kinase [EC:2.7.1.40]
EMP	K01006	A_7_c	ppdK; pyruvate, orthophosphate dikinase [EC:2.7.9.1]
EMP	K01007	A_7_d	pps, ppsA; pyruvate, water dikinase [EC:2.7.9.2]
Heme	K01845	B_3_a	hemL; glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8] 
Heme	K02492	B_2_a	hemA; glutamyl-tRNA reductase [EC:1.2.1.70] 
